time,open,close,high,low,volume,money,cgpc,cgpc_avg5,cumsumpc
2019/1/2,5.79,5.67,5.79,5.65,148390109,846903977.5,0,0.015060217,1
2019/1/3,5.67,5.74,5.88,5.67,221864703,1284108254,0.012345679,0.014732348,1.012345679
2019/1/4,5.66,6.12,6.21,5.65,433892617,2594592233,0.066202091,0.00897914,1.079365079
2019/1/7,6.08,6.14,6.19,6.04,306247885,1874855000,0.003267974,-0.001924049,1.082892416
2019/1/8,6.09,6.1,6.17,6.05,180451492,1103616795,-0.006514658,-0.004557842,1.075837743
2019/1/9,6.12,6.09,6.28,6.09,276077764,1707299818,-0.001639344,0.004078423,1.074074074
2019/1/10,6.06,5.99,6.11,5.98,172054086,1038844148,-0.016420361,0.001833945,1.05643739
2019/1/11,6.01,6.06,6.09,5.99,122097367,737806911.9,0.011686144,0.001860688,1.068783069
2019/1/14,6.1,6,6.12,5.97,110430557,664850553.3,-0.00990099,0.003496969,1.058201058
2019/1/15,5.98,6.22,6.23,5.98,273231773,1676311496,0.036666667,0.005477167,1.097001764
2019/1/16,6.22,6.14,6.25,6.12,183935256,1135979872,-0.012861736,-0.003804218,1.082892416
2019/1/17,6.15,6.04,6.15,6.04,144688635,880567532.3,-0.016286645,-0.000904002,1.065255732
2019/1/18,6.07,6.16,6.17,6.05,180478565,1105470059,0.01986755,0.004971985,1.086419753
2019/1/21,6.18,6.16,6.28,6.14,199017641,1234919129,0,0.000998475,1.086419753
2019/1/22,6.15,6.1,6.18,6.08,115966952,709826942.4,-0.00974026,0.000352271,1.075837743
2019/1/23,6.1,6.11,6.14,6.07,76479138,466451943.8,0.001639344,-0.001265317,1.077601411
2019/1/24,6.12,6.19,6.28,6.09,212902578,1320147480,0.01309329,-0.004893516,1.091710758
2019/1/25,6.19,6.19,6.29,6.15,213215648,1325387978,0,-0.000800764,1.091710758
2019/1/28,6.27,6.17,6.31,6.14,200651013,1248620947,-0.003231018,0.005692742,1.088183422
2019/1/29,6.13,6.06,6.14,5.99,198189508,1200195770,-0.017828201,0.009798065,1.068783069
2019/1/30,6.03,5.96,6.1,5.96,138965763,837866847.4,-0.01650165,0.01181811,1.051146384
2019/1/31,6.02,6.16,6.23,6,256588351,1570832174,0.033557047,0.023529655,1.086419753
2019/2/1,6.22,6.36,6.37,6.2,317944147,1999470390,0.032467532,0.015323478,1.121693122
2019/2/11,6.36,6.47,6.48,6.32,299357997,1920671263,0.017295597,0.004311899,1.141093474
2019/2/12,6.46,6.42,6.5,6.38,254070727,1633874783,-0.007727975,0.014412101,1.132275132
2019/2/13,6.44,6.69,6.78,6.41,451772034,2992597508,0.042056075,0.014803295,1.17989418
2019/2/14,6.67,6.64,6.69,6.59,238843914,1584120758,-0.007473842,0.007262908,1.171075838
2019/2/15,6.63,6.49,6.64,6.48,258684079,1699761127,-0.022590361,0.020896404,1.144620811
2019/2/18,6.55,6.93,6.93,6.54,434321607,2929507077,0.06779661,0.045305485,1.222222222
2019/2/19,6.93,6.89,7.21,6.81,517665907,3618756777,-0.005772006,0.051820512,1.215167549
2019/2/20,6.87,6.92,6.99,6.79,293331592,2019751876,0.004354136,0.063110048,1.220458554
2019/2/21,6.88,7.34,7.61,6.84,888198151,6512890304,0.060693642,0.056665802,1.294532628
2019/2/22,7.41,8.07,8.07,7.27,911973260,7005721137,0.099455041,0.051362796,1.423280423
2019/2/25,8.88,8.88,8.88,8.61,629606069,5557554496,0.100371747,0.044691404,1.566137566
2019/2/26,9.57,9.33,9.77,9.29,1694477109,16265390250,0.050675676,0.025217054,1.645502646
2019/2/27,9.41,9.07,9.64,8.81,1235057947,11431186972,-0.027867095,0.018072946,1.599647266
